night_id,day,first,second,third,fourth
1,"Saturday, Sep 14, 2024",8,0,1,7
2,"Friday, Sep 13, 2024",7,0,5,5
3,"Thursday, Sep 12, 2024",1,4,6,3
4,"Wednesday, Sep 11, 2024",5,8,6,1
5,"Tuesday, Sep 10, 2024",8,7,3,2
6,"Monday, Sep 09, 2024",7,2,5,4
7,"Sunday, Sep 08, 2024",3,5,4,0
8,"Saturday, Sep 07, 2024",3,5,8,5
9,"Friday, Sep 06, 2024",6,9,5,7
10,"Thursday, Sep 05, 2024",8,8,2,8
11,"Wednesday, Sep 04, 2024",4,1,2,2
12,"Tuesday, Sep 03, 2024",9,6,1,4
13,"Monday, Sep 02, 2024",2,4,1,9
14,"Sunday, Sep 01, 2024",3,5,8,0
15,"Saturday, Aug 31, 2024",9,1,6,6
16,"Friday, Aug 30, 2024",2,4,5,4
17,"Thursday, Aug 29, 2024",5,4,0,8
18,"Wednesday, Aug 28, 2024",1,6,2,5
19,"Tuesday, Aug 27, 2024",3,2,2,7
20,"Monday, Aug 26, 2024",5,7,4,8
21,"Sunday, Aug 25, 2024",2,7,9,3
22,"Saturday, Aug 24, 2024",4,2,4,3
23,"Friday, Aug 23, 2024",1,7,5,4
24,"Thursday, Aug 22, 2024",5,9,7,5
25,"Wednesday, Aug 21, 2024",2,2,4,4
26,"Tuesday, Aug 20, 2024",3,7,5,2
27,"Monday, Aug 19, 2024",0,8,6,9
28,"Sunday, Aug 18, 2024",3,8,0,1
29,"Saturday, Aug 17, 2024",9,2,4,7
30,"Friday, Aug 16, 2024",6,4,7,6
31,"Thursday, Aug 15, 2024",9,5,6,1
32,"Wednesday, Aug 14, 2024",7,0,8,1
33,"Tuesday, Aug 13, 2024",9,6,2,7
34,"Monday, Aug 12, 2024",6,3,0,9
35,"Sunday, Aug 11, 2024",3,7,6,5
36,"Saturday, Aug 10, 2024",0,2,7,9
37,"Friday, Aug 09, 2024",0,1,8,7
38,"Thursday, Aug 08, 2024",6,0,9,4
39,"Wednesday, Aug 07, 2024",6,7,9,0
40,"Tuesday, Aug 06, 2024",2,9,8,7
41,"Monday, Aug 05, 2024",2,2,7,4
42,"Sunday, Aug 04, 2024",8,2,3,9
43,"Saturday, Aug 03, 2024",0,9,2,0
44,"Friday, Aug 02, 2024",2,8,1,4
45,"Thursday, Aug 01, 2024",2,6,6,6
46,"Wednesday, Jul 31, 2024",8,6,8,3
47,"Tuesday, Jul 30, 2024",7,4,6,7
48,"Monday, Jul 29, 2024",7,1,9,6
49,"Sunday, Jul 28, 2024",6,2,1,0
50,"Saturday, Jul 27, 2024",0,2,5,1
51,"Friday, Jul 26, 2024",4,6,3,3
52,"Thursday, Jul 25, 2024",4,6,8,6
53,"Wednesday, Jul 24, 2024",7,1,6,2
54,"Tuesday, Jul 23, 2024",8,1,6,4
55,"Monday, Jul 22, 2024",1,1,7,4
56,"Sunday, Jul 21, 2024",7,7,4,5
57,"Saturday, Jul 20, 2024",2,2,0,3
58,"Friday, Jul 19, 2024",8,9,7,0
59,"Thursday, Jul 18, 2024",4,6,1,1
60,"Wednesday, Jul 17, 2024",9,1,2,7
61,"Tuesday, Jul 16, 2024",6,4,9,6
62,"Monday, Jul 15, 2024",1,0,6,4
63,"Sunday, Jul 14, 2024",8,5,0,7
64,"Saturday, Jul 13, 2024",0,3,7,2
65,"Friday, Jul 12, 2024",0,3,1,3
66,"Thursday, Jul 11, 2024",3,0,4,5
67,"Wednesday, Jul 10, 2024",4,0,1,0
68,"Tuesday, Jul 09, 2024",8,5,0,7
69,"Monday, Jul 08, 2024",0,8,2,6
70,"Sunday, Jul 07, 2024",8,8,4,8
71,"Saturday, Jul 06, 2024",6,8,8,9
72,"Friday, Jul 05, 2024",8,2,8,2
73,"Thursday, Jul 04, 2024",3,1,6,0
74,"Wednesday, Jul 03, 2024",6,1,7,0
75,"Tuesday, Jul 02, 2024",5,1,9,1
76,"Monday, Jul 01, 2024",4,2,5,6
77,"Sunday, Jun 30, 2024",1,8,1,7
78,"Saturday, Jun 29, 2024",4,6,4,8
79,"Friday, Jun 28, 2024",3,9,3,4
80,"Thursday, Jun 27, 2024",4,8,7,8
81,"Wednesday, Jun 26, 2024",0,8,6,8
82,"Tuesday, Jun 25, 2024",1,1,3,1
83,"Monday, Jun 24, 2024",9,3,2,9
84,"Sunday, Jun 23, 2024",1,3,6,2
85,"Saturday, Jun 22, 2024",5,0,6,7
86,"Friday, Jun 21, 2024",7,4,1,8
87,"Thursday, Jun 20, 2024",9,9,3,4
88,"Wednesday, Jun 19, 2024",7,9,0,2
89,"Tuesday, Jun 18, 2024",2,3,3,1
90,"Monday, Jun 17, 2024",1,5,7,2
91,"Sunday, Jun 16, 2024",1,0,8,8
92,"Saturday, Jun 15, 2024",4,8,2,8
93,"Friday, Jun 14, 2024",9,0,7,3
94,"Thursday, Jun 13, 2024",7,8,7,1
95,"Wednesday, Jun 12, 2024",5,2,4,4
96,"Tuesday, Jun 11, 2024",3,1,5,8
97,"Monday, Jun 10, 2024",1,1,2,6
98,"Sunday, Jun 09, 2024",5,5,3,7
99,"Saturday, Jun 08, 2024",3,6,0,4
100,"Friday, Jun 07, 2024",1,2,3,2
101,"Thursday, Jun 06, 2024",6,3,6,7
102,"Wednesday, Jun 05, 2024",4,2,3,9
103,"Tuesday, Jun 04, 2024",0,5,6,3
104,"Monday, Jun 03, 2024",5,1,7,1
105,"Sunday, Jun 02, 2024",6,4,9,4
106,"Saturday, Jun 01, 2024",2,8,2,1
107,"Friday, May 31, 2024",3,6,1,9
108,"Thursday, May 30, 2024",7,9,0,5
109,"Wednesday, May 29, 2024",5,6,2,0
110,"Tuesday, May 28, 2024",9,1,8,9
111,"Monday, May 27, 2024",1,4,2,9
112,"Sunday, May 26, 2024",1,4,2,8
113,"Saturday, May 25, 2024",5,1,0,8
114,"Friday, May 24, 2024",6,4,9,1
115,"Thursday, May 23, 2024",2,3,8,7
116,"Wednesday, May 22, 2024",7,4,6,8
117,"Tuesday, May 21, 2024",5,3,8,0
118,"Monday, May 20, 2024",6,7,3,8
119,"Sunday, May 19, 2024",3,5,8,7
120,"Saturday, May 18, 2024",9,6,3,0
121,"Friday, May 17, 2024",6,4,6,3
122,"Thursday, May 16, 2024",7,9,3,6
123,"Wednesday, May 15, 2024",2,7,2,8
124,"Tuesday, May 14, 2024",7,0,9,7
125,"Monday, May 13, 2024",3,5,8,8
126,"Sunday, May 12, 2024",1,2,0,6
127,"Saturday, May 11, 2024",7,9,8,9
128,"Friday, May 10, 2024",5,6,8,9
129,"Thursday, May 09, 2024",0,9,3,7
130,"Wednesday, May 08, 2024",5,5,0,4
131,"Tuesday, May 07, 2024",3,7,2,7
132,"Monday, May 06, 2024",6,2,5,2
133,"Sunday, May 05, 2024",4,1,6,7
134,"Saturday, May 04, 2024",1,3,8,5
135,"Friday, May 03, 2024",3,7,7,7
136,"Thursday, May 02, 2024",1,3,2,6
137,"Wednesday, May 01, 2024",2,8,8,0
138,"Tuesday, Apr 30, 2024",3,9,1,3
139,"Monday, Apr 29, 2024",2,3,0,8
140,"Sunday, Apr 28, 2024",4,1,7,5
141,"Saturday, Apr 27, 2024",0,6,0,6
142,"Friday, Apr 26, 2024",4,7,1,6
143,"Thursday, Apr 25, 2024",6,8,1,0
144,"Wednesday, Apr 24, 2024",2,6,4,1
145,"Tuesday, Apr 23, 2024",4,3,9,5
146,"Monday, Apr 22, 2024",5,7,7,7
147,"Sunday, Apr 21, 2024",8,7,1,7
148,"Saturday, Apr 20, 2024",4,7,7,2
149,"Friday, Apr 19, 2024",8,2,5,0
150,"Thursday, Apr 18, 2024",4,9,3,5
151,"Wednesday, Apr 17, 2024",8,9,4,5
152,"Tuesday, Apr 16, 2024",8,2,8,5
153,"Monday, Apr 15, 2024",3,5,7,7
154,"Sunday, Apr 14, 2024",1,3,9,4
155,"Saturday, Apr 13, 2024",1,0,0,4
156,"Friday, Apr 12, 2024",8,5,1,9
157,"Thursday, Apr 11, 2024",8,4,9,4
158,"Wednesday, Apr 10, 2024",3,6,5,2
159,"Tuesday, Apr 09, 2024",5,9,5,2
160,"Monday, Apr 08, 2024",9,8,7,3
161,"Sunday, Apr 07, 2024",5,6,6,4
162,"Saturday, Apr 06, 2024",9,7,2,8
163,"Friday, Apr 05, 2024",5,6,6,2
164,"Thursday, Apr 04, 2024",1,6,0,1
165,"Wednesday, Apr 03, 2024",2,0,5,1
166,"Tuesday, Apr 02, 2024",4,9,9,5
167,"Monday, Apr 01, 2024",4,4,4,1
168,"Sunday, Mar 31, 2024",6,0,4,5
169,"Saturday, Mar 30, 2024",4,9,8,0
170,"Friday, Mar 29, 2024",6,8,3,3
171,"Thursday, Mar 28, 2024",1,3,2,5
172,"Wednesday, Mar 27, 2024",9,5,4,9
173,"Tuesday, Mar 26, 2024",9,9,5,2
174,"Monday, Mar 25, 2024",0,2,9,4
175,"Sunday, Mar 24, 2024",1,4,8,0
176,"Saturday, Mar 23, 2024",4,6,1,5
177,"Friday, Mar 22, 2024",6,4,9,1
178,"Thursday, Mar 21, 2024",8,2,7,1
179,"Wednesday, Mar 20, 2024",5,2,3,8
180,"Tuesday, Mar 19, 2024",8,7,6,6
181,"Monday, Mar 18, 2024",3,0,2,3
182,"Sunday, Mar 17, 2024",8,3,1,2
183,"Saturday, Mar 16, 2024",7,5,6,5
184,"Friday, Mar 15, 2024",8,6,8,9
185,"Thursday, Mar 14, 2024",7,6,7,4
186,"Wednesday, Mar 13, 2024",9,6,1,8
187,"Tuesday, Mar 12, 2024",7,4,5,9
188,"Monday, Mar 11, 2024",9,4,4,4
189,"Sunday, Mar 10, 2024",7,5,3,7
190,"Saturday, Mar 09, 2024",3,1,3,4
191,"Friday, Mar 08, 2024",5,2,0,5
192,"Thursday, Mar 07, 2024",0,1,7,1
193,"Wednesday, Mar 06, 2024",4,5,8,6
194,"Tuesday, Mar 05, 2024",0,6,5,1
195,"Monday, Mar 04, 2024",8,4,6,0
196,"Sunday, Mar 03, 2024",9,9,5,2
197,"Saturday, Mar 02, 2024",1,0,3,5
198,"Friday, Mar 01, 2024",9,7,6,4
199,"Thursday, Feb 29, 2024",7,0,6,2
200,"Wednesday, Feb 28, 2024",0,2,1,7
201,"Tuesday, Feb 27, 2024",3,1,7,5
202,"Monday, Feb 26, 2024",2,4,7,7
203,"Sunday, Feb 25, 2024",2,9,2,1
204,"Saturday, Feb 24, 2024",6,9,1,6
205,"Friday, Feb 23, 2024",6,6,4,5
206,"Thursday, Feb 22, 2024",8,3,8,4
207,"Wednesday, Feb 21, 2024",1,3,7,3
208,"Tuesday, Feb 20, 2024",1,5,9,1
209,"Monday, Feb 19, 2024",4,8,5,0
210,"Sunday, Feb 18, 2024",7,8,6,1
211,"Saturday, Feb 17, 2024",4,8,0,9
212,"Friday, Feb 16, 2024",8,6,1,8
213,"Thursday, Feb 15, 2024",0,8,7,6
214,"Wednesday, Feb 14, 2024",8,3,8,9
215,"Tuesday, Feb 13, 2024",9,7,1,9
216,"Monday, Feb 12, 2024",4,3,7,1
217,"Sunday, Feb 11, 2024",9,0,1,1
218,"Saturday, Feb 10, 2024",6,4,7,5
219,"Friday, Feb 09, 2024",8,4,3,1
220,"Thursday, Feb 08, 2024",3,9,7,5
221,"Wednesday, Feb 07, 2024",2,1,3,7
222,"Tuesday, Feb 06, 2024",8,1,6,9
223,"Monday, Feb 05, 2024",7,2,0,4
224,"Sunday, Feb 04, 2024",3,2,3,8
225,"Saturday, Feb 03, 2024",6,2,9,0
226,"Friday, Feb 02, 2024",6,3,1,9
227,"Thursday, Feb 01, 2024",2,7,3,6
228,"Wednesday, Jan 31, 2024",5,0,9,8
229,"Tuesday, Jan 30, 2024",6,6,2,2
230,"Monday, Jan 29, 2024",6,7,8,7
231,"Sunday, Jan 28, 2024",2,9,6,7
232,"Saturday, Jan 27, 2024",9,1,1,2
233,"Friday, Jan 26, 2024",0,6,1,3
234,"Thursday, Jan 25, 2024",3,6,5,9
235,"Wednesday, Jan 24, 2024",8,5,4,4
236,"Tuesday, Jan 23, 2024",4,4,6,2
237,"Monday, Jan 22, 2024",9,5,7,5
238,"Sunday, Jan 21, 2024",8,7,4,3
239,"Saturday, Jan 20, 2024",7,7,1,2
240,"Friday, Jan 19, 2024",4,4,1,4
241,"Thursday, Jan 18, 2024",2,7,7,5
242,"Wednesday, Jan 17, 2024",8,8,8,3
243,"Tuesday, Jan 16, 2024",2,3,9,6
244,"Monday, Jan 15, 2024",9,5,2,9
245,"Sunday, Jan 14, 2024",5,6,2,5
246,"Saturday, Jan 13, 2024",4,2,0,0
247,"Friday, Jan 12, 2024",6,3,3,0
248,"Thursday, Jan 11, 2024",5,1,0,3
249,"Wednesday, Jan 10, 2024",8,2,2,0
250,"Tuesday, Jan 09, 2024",7,2,5,0
251,"Monday, Jan 08, 2024",4,4,4,8
252,"Sunday, Jan 07, 2024",1,0,8,1
253,"Saturday, Jan 06, 2024",9,4,0,6
254,"Friday, Jan 05, 2024",8,9,4,3
255,"Thursday, Jan 04, 2024",6,2,7,2
256,"Wednesday, Jan 03, 2024",6,7,1,6
257,"Tuesday, Jan 02, 2024",6,2,7,5
258,"Monday, Jan 01, 2024",7,0,2,2
